76	0,004561336
111	0,06614771
114	0,04942004
101	0,09404108
109	0,04967437
32	0,1667723
105	0,06673143
112	0,01673602
115	0,05754205
117	0,05552405
100	0,04028902
108	0,03983039
116	0,07856422
97	0,06917053
44	0,01089467
99	0,02206036
110	0,03879637
103	0,01292518
121	0,005061666
118	0,01115318
98	0,008864169
113	0,005837176
46	0,008864169
65	0,002276499
106	0,002276499
83	0,002276499
107	0,004552997
68	0,0007630023
104	0,001526005
102	0,003052009
122	0,001271671
85	0,0005086682
119	0,0005086682
120	0,001017336
78	0,0002543341
67	0,0002543341
